Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Algorithm,Square Size,Total Path Distance,Total Energy Cost,Total Traversal Time,,Energy Cost Difference,Energy Cost/Distance,Energy Cost Savings,Total Runs
A*,50,100.41,563093.28,36.58,,Energy Cost A*,50,103.49,552508.23,35.24,,10585.050988594536,5338.80698067987,0.018798041655503892,90
A*,50,91.72,562566.92,37.01,,Energy Cost A*,50,90.1,552849.9,36.38,,9717.02108685975,6135.661263611611,0.017272649233082683,149
A*,50,96.89,580880.11,38.4,,Energy Cost A*,50,96.61,577496.38,37.87,,3383.733026818838,5977.494544317719,0.005825183133131553,175
A*,50,97.83,533460.76,35.36,,Energy Cost A*,50,97.83,532293.69,35.36,,1167.0689517757855,5441.0288516632045,0.0021877315981551878,217
A*,50,96.8,560403.38,37.88,,Energy Cost A*,50,96.8,560403.38,37.88,,1.1641532182693481e-10,5789.343595961718,2.077348680334352e-16,255
A*,50,92.13,586083.5,36.52,,Energy Cost A*,50,91.98,570722.96,36.51,,15360.546090304037,6205.174030975902,0.026208801327280835,309
A*,50,91.43,547842.56,36.47,,Energy Cost A*,50,95.54,528946.13,35.72,,18896.431112329592,5536.568668348347,0.034492447904581315,348
A*,50,95.97,565774.18,36.79,,Energy Cost A*,50,92.57,559593.97,36.55,,6180.211080109701,6045.189925809675,0.010923459027748921,443
A*,50,95.85,535030.96,35.74,,Energy Cost A*,50,95.85,535030.96,35.74,,1.1641532182693481e-10,5581.889679857702,2.1758614000567128e-16,518
A*,50,94.67,536451.23,36.69,,Energy Cost A*,50,94.67,535928.95,36.69,,522.2883754370268,5660.811317016099,0.0009735989822899646,549
A*,50,92.56,568885.25,35.51,,Energy Cost A*,50,92.91,557408.55,35.02,,11476.696360404487,5999.201175274081,0.020174009315678858,626
A*,50,90.91,557502.88,35.91,,Energy Cost A*,50,90.98,540608.15,35.4,,16894.73279404256,5941.879717746937,0.03030429676716036,699
A*,50,93.32,545353.96,36.08,,Energy Cost A*,50,93.32,540289.11,36.08,,5064.8562579420395,5789.883710542666,0.009287282361855734,709
A*,50,100.88,546876.52,37.13,,Energy Cost A*,50,100.59,545985.76,37.63,,890.7607218913035,5427.859384910757,0.0016288150904033986,768
A*,50,91.41,553175.6,36.47,,Energy Cost A*,50,91.77,541698.91,35.97,,11476.696360404603,5903.089771274983,0.02074693155799889,794
A*,50,96.09,594635.44,39.39,,Energy Cost A*,50,96.52,589556.32,38.38,,5079.12140141346,6108.183226524723,0.008541571958202791,923
A*,50,92.39,540689.31,36.02,,Energy Cost A*,50,91.01,536087.59,35.92,,4601.72046720935,5890.385239424759,0.008510840537495519,934
A*,50,97.15,555996.09,37.39,,Energy Cost A*,50,97.29,553119.06,37.91,,2877.027695197612,5685.347252458482,0.005174546630197428,986
A*,50,97.76,602330.4,38.47,,Energy Cost A*,50,99.4,589086.53,38.06,,13243.87106451916,5926.4769637219315,0.021987718014511694,995
A*,50,95.53,557788.68,36.75,,Energy Cost A*,50,96.08,552115.68,36.27,,5673.008384635788,5746.143402152655,0.010170533283021997,1023
A*,50,93.31,584913.64,38.15,,Energy Cost A*,50,93.76,579486.07,37.67,,5427.568494033301,6180.399455518093,0.009279264661091226,1047
A*,50,92.11,536492.32,36.52,,Energy Cost A*,50,92.2,536055.68,36.52,,436.64046461042017,5813.840541604198,0.000813880177506259,1183
A*,50,95.29,570350.92,37.78,,Energy Cost A*,50,97.63,556823.76,37.42,,13527.155792404548,5703.336240948648,0.02371725088588075,1208
A*,50,90.23,545444.57,36.38,,Energy Cost A*,50,92.54,541023.67,36.03,,4420.891901764553,5846.640982849287,0.008105116789856353,1247
A*,50,95.94,586401.93,38.34,,Energy Cost A*,50,96.94,570343.55,37.89,,16058.383340550587,5883.732279508211,0.02738460173960722,1465
A*,50,93.34,582263.03,37.12,,Energy Cost A*,50,93.74,570168.93,36.63,,12094.101178903831,6082.526757744873,0.020770855271553826,1630
A*,50,92.35,540301.92,36.53,,Energy Cost A*,50,92.4,538473.56,36.54,,1828.3602782764938,5827.755568265138,0.003383960373607476,1788
A*,50,91.39,568080.66,36.47,,Energy Cost A*,50,91.39,566137.46,36.47,,1943.2004484767094,6194.504979960813,0.0034206417847453493,1916
A*,50,92.68,566194.46,37.59,,Energy Cost A*,50,93.89,553594.03,36.64,,12600.431212155265,5896.430345216043,0.022254599918187918,1968
A*,50,95.45,536831.04,36.75,,Energy Cost A*,50,96.67,526768.81,35.8,,10062.22496243345,5448.874772412828,0.018743746658791804,2121
A*,50,92.94,561723.78,37.09,,Energy Cost A*,50,93.34,558124.57,36.6,,3599.208215756691,5979.748130012271,0.006407434279880925,2225
A*,50,95.67,573263.06,36.25,,Energy Cost A*,50,95.67,573263.06,36.25,,1.1641532182693481e-10,5992.355027969117,2.0307487076677628e-16,2246
A*,50,96.01,552001.48,36.79,,Energy Cost A*,50,98.26,546761.08,36.43,,5240.402940985863,5564.69048917122,0.009493458116005599,2347
A*,50,96.49,553171.62,36.3,,Energy Cost A*,50,96.49,551228.42,36.3,,1943.200448476593,5712.873975448526,0.0035128346687788212,2446
A*,50,94.33,577329.96,37.71,,Energy Cost A*,50,94.37,557423.98,36.67,,19905.979989687214,5906.83129126279,0.03447938171757996,2845
A*,50,96.03,577527.21,37.83,,Energy Cost A*,50,96.03,577004.92,37.83,,522.2883754370268,6008.339067349786,0.0009043528457357392,2860
A*,50,96.7,596438.6,37.35,,Energy Cost A*,50,96.75,588128.11,36.84,,8310.490063276258,6078.951532397522,0.013933521553352042,2875
A*,50,93.58,583174.42,37.65,,Energy Cost A*,50,93.58,582652.13,37.65,,522.2883754370268,6226.495974208627,0.000895595479594749,2895
A*,50,98.94,575213.32,38.03,,Energy Cost A*,50,100.94,556687.74,37.13,,18525.583252397133,5514.781124241099,0.032206457386942895,2904
A*,50,96.42,545340.73,35.26,,Energy Cost A*,50,96.42,545340.73,35.26,,1.1641532182693481e-10,5655.74892558281,2.1347263445344945e-16,2906
A*,50,91.92,589384.64,37.54,,Energy Cost A*,50,92.5,560010.02,35.51,,29374.61944123346,6054.18939933905,0.049839472225638254,3046
A*,50,92.56,570246.91,36.55,,Energy Cost A*,50,92.56,568303.71,36.55,,1943.200448476593,6139.812825449078,0.003407647497761006,3510
A*,50,96.58,584154.07,38.38,,Energy Cost A*,50,96.09,569993.06,37.83,,14161.01023794664,5931.762684196878,0.024241909773506338,3557
A*,50,91.49,535521.0,34.92,,Energy Cost A*,50,91.49,533577.8,34.92,,1943.200448476593,5831.913374900086,0.003628616715653754,3693
A*,50,92.45,555762.51,36.54,,Energy Cost A*,50,93.51,550488.3,36.09,,5274.2127573081525,5887.204135209778,0.009490047696744023,3768
A*,50,94.76,546462.57,36.18,,Energy Cost A*,50,94.76,544519.37,36.18,,1943.200448476593,5746.417888219218,0.003555962590402775,3972
A*,50,92.97,538756.86,35.02,,Energy Cost A*,50,92.97,531748.8,35.02,,7008.056706418749,5719.515675828847,0.01300782831891605,4136
A*,50,91.73,562245.52,37.53,,Energy Cost A*,50,91.73,562245.52,37.53,,1.1641532182693481e-10,6129.446140331643,2.0705424374441867e-16,4154
A*,50,95.12,544903.51,35.17,,Energy Cost A*,50,95.12,544903.51,35.17,,1.1641532182693481e-10,5728.712745185161,2.1364392153093468e-16,4228
A*,50,90.9,550695.88,35.91,,Energy Cost A*,50,91.65,534571.76,35.45,,16124.11987301719,5832.570568152316,0.02927953600094086,4286
